bookName,starRating,bookPrice in (EUR),imageLink
A Light in the Attic,Three,51.77,http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,One,53.74,http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,One,50.10,http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sapiens: A Brief History of Humankind,Five,54.23,http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Black Maria,One,52.15,http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,52.29,http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,57.25,http://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Libertarianism for Beginners,Two,51.33,http://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
Birdsong: A Story in Pictures,Three,54.64,http://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg
Aladdin and His Wonderful Lamp,Three,53.13,http://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg
Behind Closed Doors,Four,52.22,http://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg
Slow States of Collapse: Poems,Three,57.31,http://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg
"We Love You, Charlie Freeman",Five,50.27,http://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg
The Secret of Dreadwillow Carse,One,56.13,http://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,56.41,http://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg
The Past Never Ends,Four,56.50,http://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
Masks and Shadows,Two,56.40,http://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,53.90,http://books.toscrape.com/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg
The Murder That Never Was (Forensic Instincts #5),Three,54.11,http://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg
The Electric Pencil: Drawings from Inside State Hospital No. 3,One,56.06,http://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
The Death of Humanity: and the Case for Life,Four,58.11,http://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,51.04,http://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,50.40,http://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
The Regional Office Is Under Attack!,Five,51.36,http://books.toscrape.com/media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg
The Matchmaker's Playbook (Wingmen Inc. #1),One,55.85,http://books.toscrape.com/media/cache/84/ac/84acb0606c96e55dc729a9d6572a08fb.jpg
The Girl on the Train,Two,55.02,http://books.toscrape.com/media/cache/25/6c/256c946dd0962095f66c6de3b15ab300.jpg
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,57.36,http://books.toscrape.com/media/cache/26/1c/261c4eaf957ae4aacf2229b482e76dbe.jpg
I am a Hero Omnibus Volume 1,Three,54.63,http://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,54.35,http://books.toscrape.com/media/cache/64/94/6494bf61176ca73b61255909230030be.jpg
Danganronpa Volume 1,Four,51.99,http://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,56.76,http://books.toscrape.com/media/cache/08/89/088995e862aac86c88c608d763f6390e.jpg
A Flight of Arrows (The Pathfinders #2),Five,55.53,http://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg
A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,52.37,http://books.toscrape.com/media/cache/c0/88/c08816960890396213a423941af65b8f.jpg
(Un)Qualified: How God Uses Broken People to Do Big Things,Five,54.00,http://books.toscrape.com/media/cache/cd/db/cddb3eb483ef11a088d519205b7098fb.jpg
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,One,59.64,http://books.toscrape.com/media/cache/97/47/974709d437b08e74649b5744471bf472.jpg
Thirteen Reasons Why,One,52.72,http://books.toscrape.com/media/cache/8a/83/8a83b6ce350f01bab21f85e6ba539316.jpg
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Four,58.08,http://books.toscrape.com/media/cache/26/32/2632a1e12f2c085fabbe022ae4cd6933.jpg
Suddenly in Love (Lake Haven #1),Two,55.99,http://books.toscrape.com/media/cache/e9/f4/e9f4bc8cf5ffaea1504623c936e90a48.jpg
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Four,57.36,http://books.toscrape.com/media/cache/5f/72/5f72c8a0d5a7292e2929a354ec8a022f.jpg
Finders Keepers (Bill Hodges Trilogy #2),Five,53.53,http://books.toscrape.com/media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg
Eureka Trivia 6.0,Four,54.59,http://books.toscrape.com/media/cache/96/17/96173470df6fc6fef4d0008e957653ce.jpg
Amatus,Five,50.54,http://books.toscrape.com/media/cache/8f/92/8f92c3b5dc8f5c1a23324bda7477b19c.jpg
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Four,52.65,http://books.toscrape.com/media/cache/db/1b/db1babd3c09b84da800b0e9897fe0097.jpg
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",One,53.90,http://books.toscrape.com/media/cache/66/d6/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg
The Wright Brothers,Four,56.80,http://books.toscrape.com/media/cache/02/2e/022e8b81ba1405991401bb46d6330c73.jpg
The Testament of Mary,Four,52.67,http://books.toscrape.com/media/cache/83/05/8305154438c91a02cefacf4ec8b53393.jpg
The Rosie Project (Don Tillman #1),One,54.04,http://books.toscrape.com/media/cache/f0/db/f0db1cf76d45f0522d4c8c3c39aa0dd8.jpg
The Last Mile (Amos Decker #2),Two,54.21,http://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg
The Hidden Oracle (The Trials of Apollo #1),Two,52.26,http://books.toscrape.com/media/cache/b4/67/b467a4f01ca6ae8464b9425a156c7c32.jpg
City of Glass (The Mortal Instruments #3),Four,56.02,http://books.toscrape.com/media/cache/00/08/0008e65aa431ed3625ad3a4352f8e90d.jpg
Catching Jordan (Hundred Oaks),Three,50.83,http://books.toscrape.com/media/cache/ad/ac/adac97366586d261feab30bf5220756e.jpg
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Five,50.62,http://books.toscrape.com/media/cache/74/aa/74aa29b1ba4147eaf5b46671bf235861.jpg
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Four,58.14,http://books.toscrape.com/media/cache/61/1a/611aba0ef5b859ba1977ef30677b0194.jpg
Angels & Demons (Robert Langdon #1),Three,51.48,http://books.toscrape.com/media/cache/b4/2a/b42a187c37de904f776070c57f51c756.jpg
Someone Like You (The Harrisons #2),Five,52.79,http://books.toscrape.com/media/cache/e3/d0/e3d05227f3fc24f0e0c84ccebe108fb0.jpg
Luis Paints the World,Three,53.95,http://books.toscrape.com/media/cache/85/e7/85e75d5a9309da5807c82decf3d90263.jpg
Lowriders to the Center of the Earth (Lowriders in Space #2),Two,51.51,http://books.toscrape.com/media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg
Shtum,Four,55.84,http://books.toscrape.com/media/cache/03/16/0316bb6f4785ac69c0643109201bad5d.jpg
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Five,50.89,http://books.toscrape.com/media/cache/c8/f2/c8f297fab080ddd02b3ed5c17b83af85.jpg
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Three,52.15,http://books.toscrape.com/media/cache/9c/da/9cda4893c7fce0c1c8eaa34fb092aa04.jpg
Hamilton: The Revolution,Three,58.79,http://books.toscrape.com/media/cache/34/ef/34ef0844cb1fbca6ab73444087fcf0e6.jpg
El Deafo,Five,57.62,http://books.toscrape.com/media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Five,51.75,http://books.toscrape.com/media/cache/b1/e1/b1e15eef42c0d71596f9f9ad4e9f48b0.jpg
"Eat Fat, Get Thin",Two,54.07,http://books.toscrape.com/media/cache/62/3f/623f8e7f7432ce744f4318aae8166ce4.jpg
Don't Get Caught,One,55.35,http://books.toscrape.com/media/cache/b2/df/b2df2ea409c5cf28538b67aff424b11f.jpg
Abstract City,Five,56.37,http://books.toscrape.com/media/cache/e7/70/e77019ebd71bcf6badb085bddf47c413.jpg
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Two,56.48,http://books.toscrape.com/media/cache/9b/20/9b2076ce7414103a093ce2459d089969.jpg
A Brush of Wings (Angels Walking #3),One,55.51,http://books.toscrape.com/media/cache/4d/16/4d163d43cb4aa624e599330a39abace5.jpg
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Four,59.15,http://books.toscrape.com/media/cache/9f/25/9f255826f354776dda9afbd5576a7add.jpg
The Dinner Party,Two,56.54,http://books.toscrape.com/media/cache/ba/76/ba761d23c5c0e5a0638e04739c69c5d0.jpg
The Diary of a Young Girl,Three,59.90,http://books.toscrape.com/media/cache/83/d5/83d5526864a108d27fd4b03dd31ec18b.jpg
No Love Allowed (Dodge Cove #1),Four,54.65,http://books.toscrape.com/media/cache/70/3e/703e053877204a396ec6e7beac863118.jpg
